Iteration	k	l	N50
1	16	16	2166
2	33	33	13780
3	40	45	15458
4	50	50	0
5	16	50	1897
6	38	16	13179
7	33	50	13192
8	50	16	0
9	42	26	16451
10	40	16	15715
11	27	16	8638
12	42	50	15460
13	49	16	0
14	42	16	15717
15	33	16	13192
16	41	22	23561
17	50	49	0
18	36	16	13175
19	31	26	9620
20	37	50	13433
21	35	50	13196
22	47	50	908
23	22	50	5899
24	41	28	23561
25	29	50	10339
26	41	25	23561
27	41	27	23561
28	34	16	12147
29	41	24	23561
30	41	26	23561
31	41	23	23561
32	41	21	23561
33	41	17	23561
34	41	18	23561
35	41	16	23561
36	41	29	23561
37	41	31	23561
38	41	20	23561
39	41	19	23561
